DOI	DirectLink	Software	Version	SoftwareURL	DockerImage	ReferenceDatabase	ShortReadsUsed	LongReadsUsed	SamplesUsed	Description	CommandUsed	FileName	Creator	ORCID	Affiliation
new	new	MetaPhlAn	2.9.21	https://bitbucket.org/biobakery/metaphlan2	cami/metaphlan:2.9.21	mpa_v29_CHOCOPhlAn_201901 	True	False	0-63	Taxonomic profiling	metaphlan2.py –input_type fastq --nproc `nproc` --bowtie2db <databaseDir> --index mpa_v29_CHOCOPhlAn_201901 --bowtie2out $tmpdir/out.bowtie2 --sample_id $id --CAMI_format_output --tmp_dir=/cache <inputfile> <outputfile>		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	MetaPhlAn	2.2.0	https://bitbucket.org/biobakery/metaphlan2	stefanjanssen/docker_profiling_tools:metaphlan2	mpa_v20_m200	True	False	0-63	Taxonomic profiling	metaphlan2.py –mpa_pkl db_v20/mpa_v20_m200.pkl --input_type fastq --nproc <num cpus> --bowtie2db db_v20/mpa_v20_m200 --bowtie2out /tmp/out.bowtie2 --output_file <output>		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	Bracken	2.5	https://github.com/jenniferlu717/Bracken	cami/bracken:2.5	Kraken standard db built May 2019	True	False	0-63	Taxonomic profiling	kraken2 --threads `nproc` --gzip-compressed --db <databaseDir> --output output.kraken --report output.kreport && est_abundance.py -i output.kreport -k <databaseDir>/database150mers.kmer_distrib -o <outputfile>		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	FOCUS	0.31	https://github.com/metageni/FOCUS	stefanjanssen/docker_profiling_tools:focus	k8_bacterial_and_draft	True	False	0-63	Taxonomic profiling	focus_cami.py -q <(seqtk seq -a <inputfile>) -m 0.001 -c bd -k 8  > <resultfile>		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	CAMIARKQuikr	1.0.0	https://doi.org/10.5281/zenodo.1730572	stefanjanssen/docker_profiling_tools:quickr	https://doi.org/10.5281/zenodo.1730572	True	False	0-63	Taxonomic profiling	julia ARK.jl -i Extracted16S.fa -o <outputfile> -n 10 -t SEK -d <sharedir> -k kmer_counts_per_sequence -s <intputfile>		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	mOTUs	1.1	http://www.bork.embl.de/software/mOTUs1/	stefanjanssen/docker_profiling_tools:motu	mOTU.v1.padded	True	False	0-63	Taxonomic profiling	mOTUs.pl –processors=<num cpus> <readfile>		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
xxx	xxx	mOTUs	2.5.1	https://motu-tool.org/		mOTUs database version 2.5.0	True	False	0-63	Taxonomic profiling			Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	MetaPalette	1.0.0	https://doi.org/10.5281/zenodo.1730624	stefanjanssen/docker_profiling_tools:commonkmers	https://zenodo.org/record/1749272	True	False	0-63	Taxonomic profiling	julia -p `nproc` Classify.jl -j jellyfish -i <tmpdir>/input.fastq -Q C -d <dbdir> -k sensitive -o <outputfile> --normalize -s <inputfile>		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	TIPP	2.0.0	https://github.com/smirarab/sepp	stefanjanssen/docker_profiling_tools:tipp	2015	True	False	0-63	Taxonomic profiling	seqtk seq -a <inputfile> > input.fasta && run_abundance.py -f input.fasta -c tipp.config -o .		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
new	new	MetaPhyler	1.25	http://metaphyler.cbcb.umd.edu/	stefanjanssen/docker_profiling_tools:metaphyler	2012	True	False	0-63	Taxonomic profiling	runMetaphyler.pl <(seqtk seq -a <inputfile>) blastn output_n `nproc`		Meyer, Fernando	0000-0002-0901-3815	Helmholtz Centre for Infection Research
